# Nmap 7.60 scan initiated Sun Apr 11 13:02:43 2021 as: nmap -sS -v -v -Pn -O -oN nmap_sS_v_v_Pn_O.txt unit-deb.pnj.ac.id
Nmap scan report for unit-deb.pnj.ac.id (103.36.14.100)
Host is up, received user-set (0.048s latency).
Scanned at 2021-04-11 13:02:56 WIB for 6s

PORT      STATE SERVICE              REASON
1840/tcp  open  netopia-vo2          syn-ack ttl 253
1862/tcp  open  mysql-cm-agent       syn-ack ttl 253
1863/tcp  open  msnp                 syn-ack ttl 253
1864/tcp  open  paradym-31           syn-ack ttl 253
1875/tcp  open  westell-stats        syn-ack ttl 253
1900/tcp  open  upnp                 syn-ack ttl 253
1914/tcp  open  elm-momentum         syn-ack ttl 253
1935/tcp  open  rtmp                 syn-ack ttl 253
1947/tcp  open  sentinelsrm          syn-ack ttl 253
1971/tcp  open  netop-school         syn-ack ttl 253
1972/tcp  open  intersys-cache       syn-ack ttl 253
1974/tcp  open  drp                  syn-ack ttl 253
1984/tcp  open  bigbrother           syn-ack ttl 253
1998/tcp  open  x25-svc-port         syn-ack ttl 253
1999/tcp  open  tcp-id-port          syn-ack ttl 253
2000/tcp  open  cisco-sccp           syn-ack ttl 253
2001/tcp  open  dc                   syn-ack ttl 253
2002/tcp  open  globe                syn-ack ttl 253
2003/tcp  open  finger               syn-ack ttl 253
2004/tcp  open  mailbox              syn-ack ttl 253
2005/tcp  open  deslogin             syn-ack ttl 253
2006/tcp  open  invokator            syn-ack ttl 253
2007/tcp  open  dectalk              syn-ack ttl 253
2008/tcp  open  conf                 syn-ack ttl 253
2009/tcp  open  news                 syn-ack ttl 253
2010/tcp  open  search               syn-ack ttl 253
2013/tcp  open  raid-am              syn-ack ttl 253
2020/tcp  open  xinupageserver       syn-ack ttl 253
2021/tcp  open  servexec             syn-ack ttl 253
2022/tcp  open  down                 syn-ack ttl 253
2030/tcp  open  device2              syn-ack ttl 253
2033/tcp  open  glogger              syn-ack ttl 253
2034/tcp  open  scoremgr             syn-ack ttl 253
2035/tcp  open  imsldoc              syn-ack ttl 253
2038/tcp  open  objectmanager        syn-ack ttl 253
2040/tcp  open  lam                  syn-ack ttl 253
2041/tcp  open  interbase            syn-ack ttl 253
2042/tcp  open  isis                 syn-ack ttl 253
2043/tcp  open  isis-bcast           syn-ack ttl 253
2045/tcp  open  cdfunc               syn-ack ttl 253
2046/tcp  open  sdfunc               syn-ack ttl 253
2047/tcp  open  dls                  syn-ack ttl 253
2048/tcp  open  dls-monitor          syn-ack ttl 253
2049/tcp  open  nfs                  syn-ack ttl 253
2065/tcp  open  dlsrpn               syn-ack ttl 253
2068/tcp  open  avocentkvm           syn-ack ttl 253
2099/tcp  open  h2250-annex-g        syn-ack ttl 253
2100/tcp  open  amiganetfs           syn-ack ttl 253
2103/tcp  open  zephyr-clt           syn-ack ttl 253
2105/tcp  open  eklogin              syn-ack ttl 253
2106/tcp  open  ekshell              syn-ack ttl 253
2107/tcp  open  msmq-mgmt            syn-ack ttl 253
2111/tcp  open  kx                   syn-ack ttl 253
2119/tcp  open  gsigatekeeper        syn-ack ttl 253
2121/tcp  open  ccproxy-ftp          syn-ack ttl 253
2126/tcp  open  pktcable-cops        syn-ack ttl 253
2135/tcp  open  gris                 syn-ack ttl 253
2144/tcp  open  lv-ffx               syn-ack ttl 253
2160/tcp  open  apc-2160             syn-ack ttl 253
2161/tcp  open  apc-agent            syn-ack ttl 253
2170/tcp  open  eyetv                syn-ack ttl 253
2179/tcp  open  vmrdp                syn-ack ttl 253
2190/tcp  open  tivoconnect          syn-ack ttl 253
2191/tcp  open  tvbus                syn-ack ttl 253
2196/tcp  open  unknown              syn-ack ttl 253
2200/tcp  open  ici                  syn-ack ttl 253
2222/tcp  open  EtherNetIP-1         syn-ack ttl 253
2251/tcp  open  dif-port             syn-ack ttl 253
2260/tcp  open  apc-2260             syn-ack ttl 253
2288/tcp  open  netml                syn-ack ttl 253
2301/tcp  open  compaqdiag           syn-ack ttl 253
2323/tcp  open  3d-nfsd              syn-ack ttl 253
2366/tcp  open  qip-login            syn-ack ttl 253
2381/tcp  open  compaq-https         syn-ack ttl 253
2382/tcp  open  ms-olap3             syn-ack ttl 253
2383/tcp  open  ms-olap4             syn-ack ttl 253
2393/tcp  open  ms-olap1             syn-ack ttl 253
2394/tcp  open  ms-olap2             syn-ack ttl 253
2399/tcp  open  fmpro-fdal           syn-ack ttl 253
2401/tcp  open  cvspserver           syn-ack ttl 253
2492/tcp  open  groove               syn-ack ttl 253
2500/tcp  open  rtsserv              syn-ack ttl 253
2522/tcp  open  windb                syn-ack ttl 253
2525/tcp  open  ms-v-worlds          syn-ack ttl 253
2557/tcp  open  nicetec-mgmt         syn-ack ttl 253
2601/tcp  open  zebra                syn-ack ttl 253
2602/tcp  open  ripd                 syn-ack ttl 253
2604/tcp  open  ospfd                syn-ack ttl 253
2605/tcp  open  bgpd                 syn-ack ttl 253
2607/tcp  open  connection           syn-ack ttl 253
2608/tcp  open  wag-service          syn-ack ttl 253
2638/tcp  open  sybase               syn-ack ttl 253
2701/tcp  open  sms-rcinfo           syn-ack ttl 253
2702/tcp  open  sms-xfer             syn-ack ttl 253
2710/tcp  open  sso-service          syn-ack ttl 253
2717/tcp  open  pn-requester         syn-ack ttl 253
2718/tcp  open  pn-requester2        syn-ack ttl 253
2725/tcp  open  msolap-ptp2          syn-ack ttl 253
2800/tcp  open  acc-raid             syn-ack ttl 253
2809/tcp  open  corbaloc             syn-ack ttl 253
2811/tcp  open  gsiftp               syn-ack ttl 253
2869/tcp  open  icslap               syn-ack ttl 253
2875/tcp  open  dxmessagebase2       syn-ack ttl 253
2909/tcp  open  funk-dialout         syn-ack ttl 253
2910/tcp  open  tdaccess             syn-ack ttl 253
2920/tcp  open  roboeda              syn-ack ttl 253
2967/tcp  open  symantec-av          syn-ack ttl 253
2968/tcp  open  enpp                 syn-ack ttl 253
2998/tcp  open  iss-realsec          syn-ack ttl 253
3000/tcp  open  ppp                  syn-ack ttl 253
3001/tcp  open  nessus               syn-ack ttl 253
3003/tcp  open  cgms                 syn-ack ttl 253
3005/tcp  open  deslogin             syn-ack ttl 253
3006/tcp  open  deslogind            syn-ack ttl 253
3007/tcp  open  lotusmtap            syn-ack ttl 253
3011/tcp  open  trusted-web          syn-ack ttl 253
3013/tcp  open  gilatskysurfer       syn-ack ttl 253
3017/tcp  open  event_listener       syn-ack ttl 253
3030/tcp  open  arepa-cas            syn-ack ttl 253
3031/tcp  open  eppc                 syn-ack ttl 253
3052/tcp  open  powerchute           syn-ack ttl 253
3071/tcp  open  csd-mgmt-port        syn-ack ttl 253
3077/tcp  open  orbix-loc-ssl        syn-ack ttl 253
3128/tcp  open  squid-http           syn-ack ttl 253
3168/tcp  open  poweronnud           syn-ack ttl 253
3211/tcp  open  avsecuremgmt         syn-ack ttl 253
3221/tcp  open  xnm-clear-text       syn-ack ttl 253
3260/tcp  open  iscsi                syn-ack ttl 253
3261/tcp  open  winshadow            syn-ack ttl 253
3268/tcp  open  globalcatLDAP        syn-ack ttl 253
3269/tcp  open  globalcatLDAPssl     syn-ack ttl 253
3283/tcp  open  netassistant         syn-ack ttl 253
3300/tcp  open  ceph                 syn-ack ttl 253
3301/tcp  open  unknown              syn-ack ttl 253
3306/tcp  open  mysql                syn-ack ttl 253
3322/tcp  open  active-net           syn-ack ttl 253
3323/tcp  open  active-net           syn-ack ttl 253
3324/tcp  open  active-net           syn-ack ttl 253
3325/tcp  open  active-net           syn-ack ttl 253
3333/tcp  open  dec-notes            syn-ack ttl 253
3351/tcp  open  btrieve              syn-ack ttl 253
3367/tcp  open  satvid-datalnk       syn-ack ttl 253
3369/tcp  open  satvid-datalnk       syn-ack ttl 253
3370/tcp  open  satvid-datalnk       syn-ack ttl 253
3371/tcp  open  satvid-datalnk       syn-ack ttl 253
3372/tcp  open  msdtc                syn-ack ttl 253
3389/tcp  open  ms-wbt-server        syn-ack ttl 253
3390/tcp  open  dsc                  syn-ack ttl 253
3404/tcp  open  unknown              syn-ack ttl 253
3476/tcp  open  nppmp                syn-ack ttl 253
3493/tcp  open  nut                  syn-ack ttl 253
3517/tcp  open  802-11-iapp          syn-ack ttl 253
3527/tcp  open  beserver-msg-q       syn-ack ttl 253
3546/tcp  open  unknown              syn-ack ttl 253
3551/tcp  open  apcupsd              syn-ack ttl 253
3580/tcp  open  nati-svrloc          syn-ack ttl 253
3659/tcp  open  apple-sasl           syn-ack ttl 253
3689/tcp  open  rendezvous           syn-ack ttl 253
3690/tcp  open  svn                  syn-ack ttl 253
3703/tcp  open  adobeserver-3        syn-ack ttl 253
3737/tcp  open  xpanel               syn-ack ttl 253
3766/tcp  open  sitewatch-s          syn-ack ttl 253
3784/tcp  open  bfd-control          syn-ack ttl 253
3800/tcp  open  pwgpsi               syn-ack ttl 253
3801/tcp  open  ibm-mgr              syn-ack ttl 253
3809/tcp  open  apocd                syn-ack ttl 253
3814/tcp  open  neto-dcs             syn-ack ttl 253
